Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorkedGroup,AttrionLikelihood,RiskLevel
33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,High,Male,Entry Level,Laboratory Technician,Very High,Single,2496,No,Very High,Low,7,3,High,1,1,0,0,4-5 companies,0.025447073,Weak
44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,Very High,Male,Junior Level,Healthcare Representative,Very High,Married,6465,Yes,Very High,Low,9,5,Very High,4,2,1,3,2-3 companies,0.022731639,Weak
30,No,Travel_Rarely,125,Research & Development,9,College,Medical,Very High,Male,Entry Level,Laboratory Technician,High,Single,2206,No,Low,Low,10,5,High,10,0,1,8,0-1 Companies,0.320367445,Medium
39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,Very High,Male,Junior Level,Sales Representative,Very High,Married,2086,No,High,Medium,19,6,Very High,1,0,0,0,2-3 companies,0.029943838,Weak
24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Medium,Male,Entry Level,Research Scientist,Very High,Married,2293,Yes,Low,Medium,6,2,Medium,2,0,2,0,2-3 companies,0.195335996,Weak
43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,Very High,Female,Entry Level,Research Scientist,High,Divorced,2645,No,Very High,High,6,3,Medium,5,3,1,4,0-1 Companies,0.001097572,Weak
50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,Low,Male,Entry Level,Sales Representative,High,Married,2683,Yes,High,Low,3,2,High,3,2,0,2,0-1 Companies,0.792377832,Strong
35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,Very High,Female,Entry Level,Sales Representative,Very High,Married,2014,No,Low,Low,2,3,High,2,2,2,2,0-1 Companies,0.146338234,Weak
36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,Medium,Female,Entry Level,Research Scientist,Low,Married,3419,Yes,Very High,Medium,6,3,Very High,1,1,0,0,5+ companies,0.215939098,Weak
33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,High,Female,Junior Level,Sales Executive,Low,Married,5376,No,Low,High,10,3,High,5,3,1,3,2-3 companies,0.043742824,Weak
35,No,Travel_Rarely,464,Research & Development,4,College,Other,High,Male,Entry Level,Laboratory Technician,Very High,Divorced,1951,No,High,Medium,1,3,High,1,0,0,0,0-1 Companies,0.009361263,Weak
27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,Very High,Female,Entry Level,Laboratory Technician,Low,Divorced,2341,No,Very High,Medium,1,6,High,1,0,0,0,0-1 Companies,0.023500915,Weak
26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,Low,Male,Entry Level,Laboratory Technician,High,Single,2293,No,High,Low,1,2,Medium,1,0,0,1,0-1 Companies,0.90276009,Strong
27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,Very High,Male,Mid Level,Sales Executive,High,Single,8726,No,Very High,Low,9,0,High,9,8,1,7,0-1 Companies,0.25327796,Weak
30,No,Travel_Frequently,721,Research & Development,1,College,Medical,High,Female,Junior Level,Laboratory Technician,Very High,Single,4011,No,Very High,Low,12,2,High,12,8,3,7,0-1 Companies,0.009140515,Weak
41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,Medium,Female,Executive Level,Research Director,High,Married,19545,No,Very High,Low,23,0,High,22,15,15,8,0-1 Companies,4.80E-06,Weak
34,No,Non-Travel,1065,Sales,23,Master,Marketing,Medium,Male,Junior Level,Sales Executive,High,Single,4568,No,High,Low,10,2,High,9,5,8,7,,0.095169202,Weak
37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,Medium,Male,Entry Level,Research Scientist,Medium,Married,3022,No,Low,Low,8,1,High,1,0,0,0,4-5 companies,0.325992273,Medium
46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,Low,Male,Junior Level,Sales Executive,Very High,Single,5772,Yes,High,Low,14,4,High,9,6,0,8,4-5 companies,0.256232047,Weak
35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,Very High,Male,Entry Level,Laboratory Technician,Very High,Married,2269,No,Very High,Low,1,2,High,1,0,0,1,0-1 Companies,0.047442387,Weak
48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,Low,Male,Mid Level,Laboratory Technician,High,Single,5381,Yes,Very High,Low,23,2,High,1,0,0,0,5+ companies,0.786772066,Strong
28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,High,Male,Entry Level,Laboratory Technician,High,Single,3441,Yes,High,Low,2,3,Medium,2,2,2,2,0-1 Companies,0.770435138,Strong
44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,Medium,Female,Junior Level,Sales Executive,Low,Divorced,5454,Yes,High,Medium,9,2,Medium,4,3,1,3,4-5 companies,0.195702768,Weak
35,No,Non-Travel,1097,Research & Development,11,College,Medical,High,Male,Mid Level,Healthcare Representative,Low,Married,9884,Yes,High,Medium,10,3,High,4,0,2,3,2-3 companies,0.069037301,Weak
26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,High,Female,Junior Level,Sales Executive,Very High,Married,4157,Yes,High,Medium,5,2,Medium,2,2,0,0,5+ companies,0.342033346,Medium
33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,Low,Female,Mid Level,Research Director,Very High,Single,13458,Yes,High,Low,15,1,High,15,14,8,12,0-1 Companies,0.001080277,Weak
35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,Medium,Male,Mid Level,Sales Executive,Low,Married,9069,No,Very High,Medium,9,3,Medium,9,8,1,8,0-1 Companies,0.332568992,Medium
35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,High,Female,Entry Level,Laboratory Technician,Low,Married,4014,Yes,High,Medium,4,3,High,2,2,2,2,2-3 companies,0.398029723,Medium
31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,Very High,Male,Junior Level,Laboratory Technician,Very High,Divorced,5915,No,Very High,Medium,10,3,Medium,7,7,1,7,2-3 companies,0.00298178,Weak
37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,Low,Male,Junior Level,Manufacturing Director,High,Divorced,5993,No,High,Medium,7,2,Very High,7,5,0,7,0-1 Companies,0.009302741,Weak
32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,Low,Male,Junior Level,Manufacturing Director,Very High,Married,6162,Yes,Medium,Medium,9,3,High,9,8,7,8,0-1 Companies,0.009505081,Weak
38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,Very High,Female,Junior Level,Laboratory Technician,Very High,Single,2406,No,Very High,Low,10,2,High,10,3,9,9,0-1 Companies,0.11799927,Weak
50,No,Travel_Rarely,989,Research & Development,7,College,Medical,Medium,Female,Executive Level,Research Director,High,Divorced,18740,Yes,Very High,Medium,29,2,Medium,27,3,13,8,4-5 companies,2.18E-05,Weak
59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,Low,Female,Mid Level,Sales Executive,Low,Single,7637,No,Very High,Low,28,3,Medium,21,16,7,9,5+ companies,0.280495187,Weak
36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,High,Female,Mid Level,Healthcare Representative,High,Divorced,10096,No,Medium,Very High,17,2,High,17,14,12,8,0-1 Companies,0.010774926,Weak
55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,Very High,Female,Senior Level,Manager,High,Divorced,14756,Yes,High,Very High,21,2,High,5,0,0,2,2-3 companies,0.041238109,Weak
36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,Medium,Male,Junior Level,Manufacturing Director,Medium,Single,6499,No,High,Low,6,3,High,6,5,0,3,0-1 Companies,0.016388816,Weak
45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,Medium,Male,Mid Level,Research Scientist,Low,Divorced,9724,No,High,Medium,25,2,High,1,0,0,0,2-3 companies,0.007722707,Weak
35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,Medium,Male,Entry Level,Research Scientist,Low,Married,2194,No,Very High,Medium,5,2,Medium,3,2,1,2,4-5 companies,0.038376808,Weak
36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,Very High,Male,Entry Level,Research Scientist,High,Married,3388,Yes,Low,Medium,2,0,Medium,1,0,0,0,,0.352143847,Medium
59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,Low,Female,Junior Level,Sales Executive,High,Single,5473,No,Very High,Low,20,2,Medium,4,3,1,3,5+ companies,0.169497246,Weak
29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,High,Male,Entry Level,Research Scientist,Medium,Married,2703,No,Very High,Medium,6,3,High,5,4,0,4,,0.00268453,Weak
31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,High,Male,Entry Level,Research Scientist,Medium,Single,2501,No,Medium,Low,1,4,High,1,1,1,0,0-1 Companies,0.01985501,Weak
32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,Medium,Male,Junior Level,Research Scientist,Medium,Married,6220,No,Medium,High,10,3,High,10,4,0,9,0-1 Companies,0.00137524,Weak
36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,Medium,Female,Entry Level,Laboratory Technician,Very High,Married,3038,No,Medium,Low,5,3,High,1,0,0,0,2-3 companies,0.145631272,Weak
31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,High,Female,Junior Level,Manufacturing Director,Very High,Single,4424,No,Very High,Low,11,2,High,11,7,1,8,0-1 Companies,0.001838784,Weak
35,No,Travel_Rarely,776,Sales,1,Master,Marketing,High,Male,Junior Level,Sales Executive,Low,Single,4312,No,Medium,Low,16,2,High,15,13,2,8,,0.028686227,Weak
45,No,Travel_Rarely,193,Research & Development,6,Master,Other,Very High,Male,Mid Level,Research Director,Low,Married,13245,Yes,Medium,Low,17,3,Very High,0,0,0,0,4-5 companies,0.006752587,Weak
37,No,Travel_Rarely,397,Research & Development,7,Master,Medical,Low,Male,Mid Level,Research Director,High,Single,13664,No,Low,Low,16,3,Very High,5,2,0,2,4-5 companies,0.006704052,Weak
46,No,Travel_Rarely,945,Human Resources,5,College,Medical,Medium,Male,Junior Level,Human Resources,Medium,Divorced,5021,Yes,Very High,Medium,16,2,High,4,2,0,2,5+ companies,0.014436327,Weak
30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,Very High,Male,Junior Level,Laboratory Technician,Very High,Married,5126,Yes,High,High,10,1,Medium,10,8,3,0,0-1 Companies,0.015989914,Weak
35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,Medium,Male,Entry Level,Research Scientist,High,Single,2859,No,Low,Low,6,3,High,6,4,0,4,0-1 Companies,0.028542383,Weak
55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,Low,Male,Mid Level,Sales Executive,Very High,Married,10239,No,Very High,Medium,24,4,High,1,0,1,0,2-3 companies,0.024357903,Weak
38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,Medium,Female,Junior Level,Research Scientist,Very High,Divorced,5329,Yes,Very High,Very High,17,3,High,13,11,1,9,5+ companies,0.001103358,Weak
34,No,Travel_Rarely,1153,Research & Development,1,College,Medical,Low,Male,Junior Level,Manufacturing Director,Medium,Married,4325,No,High,Low,5,2,High,5,2,1,3,0-1 Companies,0.023849226,Weak
56,No,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,Very High,Male,Mid Level,Manufacturing Director,Very High,Single,7260,No,Low,Low,37,3,Medium,6,4,0,2,4-5 companies,0.012120892,Weak
23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,High,Male,Entry Level,Sales Representative,Low,Divorced,2322,No,High,Medium,3,3,High,0,0,0,0,2-3 companies,0.247990384,Weak
51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,Very High,Male,Entry Level,Laboratory Technician,Very High,Married,2075,No,Medium,High,10,4,High,4,2,0,3,2-3 companies,0.005040059,Weak
30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,High,Male,Junior Level,Healthcare Representative,Very High,Married,4152,No,Low,Very High,11,3,High,11,10,10,8,0-1 Companies,0.004541664,Weak
46,Yes,Travel_Rarely,669,Sales,9,College,Medical,High,Male,Mid Level,Sales Executive,Very High,Single,9619,No,Very High,Low,9,3,High,9,8,4,7,0-1 Companies,0.014444289,Weak
40,No,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,High,Male,Senior Level,Healthcare Representative,Medium,Married,13503,No,Very High,Medium,22,3,Medium,22,3,11,11,0-1 Companies,0.045151324,Weak
51,No,Travel_Rarely,632,Sales,21,Master,Marketing,High,Male,Junior Level,Sales Executive,Very High,Single,5441,Yes,Very High,Low,11,2,Low,10,7,1,0,,0.306036283,Medium
30,No,Travel_Rarely,1334,Sales,4,College,Medical,High,Female,Junior Level,Sales Executive,Medium,Divorced,5209,Yes,Medium,Very High,11,4,Medium,11,8,2,7,0-1 Companies,0.212918947,Weak
46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,High,Male,Mid Level,Healthcare Representative,Low,Married,10673,Yes,High,Medium,21,5,Medium,10,9,9,5,2-3 companies,0.046682456,Weak
32,No,Travel_Rarely,1093,Sales,6,Master,Medical,Medium,Male,Junior Level,Sales Executive,High,Single,5010,No,Low,Low,12,0,High,11,8,5,7,0-1 Companies,0.140303432,Weak
54,No,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,Low,Female,Mid Level,Research Director,High,Married,13549,No,Low,Medium,16,5,Low,4,3,0,3,5+ companies,0.000556568,Weak
24,No,Travel_Rarely,1353,Sales,3,College,Other,Low,Female,Junior Level,Sales Executive,High,Married,4999,No,Low,Medium,4,2,Medium,3,2,0,2,,0.281094804,Weak
28,No,Non-Travel,120,Sales,4,Bachelor,Medical,Medium,Male,Junior Level,Sales Executive,High,Married,4221,No,Medium,Low,5,3,Very High,5,4,0,4,0-1 Companies,0.192235957,Weak
58,No,Travel_Rarely,682,Sales,10,Master,Medical,Very High,Male,Senior Level,Sales Executive,High,Single,13872,No,High,Low,38,1,Medium,37,10,1,8,,0.085444066,Weak
44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,Medium,Male,Junior Level,Laboratory Technician,Medium,Married,2042,No,High,Medium,17,3,Very High,3,2,1,2,4-5 companies,0.069162782,Weak
37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,High,Male,Entry Level,Human Resources,Low,Divorced,2073,Yes,Very High,Low,7,3,High,3,2,0,2,4-5 companies,0.560219761,Strong
32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,Very High,Male,Entry Level,Research Scientist,Low,Single,2956,No,Very High,Low,1,2,High,1,0,0,0,0-1 Companies,0.030434869,Weak
20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,Very High,Female,Entry Level,Laboratory Technician,Very High,Single,2926,Yes,Medium,Low,1,5,High,1,0,1,0,0-1 Companies,0.628979839,Strong
34,No,Travel_Rarely,665,Research & Development,6,Master,Other,Low,Female,Junior Level,Research Scientist,High,Single,4809,No,High,Low,16,3,High,16,13,2,10,0-1 Companies,0.003709481,Weak
37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,High,Male,Junior Level,Healthcare Representative,Very High,Divorced,5163,No,Very High,Medium,17,2,Very High,1,0,0,0,4-5 companies,0.001393574,Weak
59,No,Non-Travel,1420,Human Resources,2,Master,Human Resources,High,Female,Executive Level,Manager,Very High,Married,18844,No,Very High,Medium,30,3,High,3,2,2,2,5+ companies,7.25E-06,Weak
50,No,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,Low,Female,Executive Level,Research Director,Medium,Married,18172,Yes,Low,Low,28,1,Medium,8,3,0,7,2-3 companies,0.002505581,Weak
25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,High,Male,Junior Level,Sales Executive,High,Single,5744,Yes,Very High,Low,6,1,High,6,4,0,3,0-1 Companies,0.431964583,Strong
25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,Very High,Male,Entry Level,Research Scientist,Very High,Married,2889,No,High,High,2,2,High,2,2,2,1,0-1 Companies,0.001098561,Weak
22,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,Medium,Female,Entry Level,Laboratory Technician,Very High,Single,2871,No,High,Low,1,5,High,0,0,0,0,0-1 Companies,0.167463376,Weak
51,No,Travel_Frequently,1456,Research & Development,1,Master,Medical,Low,Female,Mid Level,Healthcare Representative,Low,Single,7484,No,High,Low,23,1,Medium,13,12,12,8,2-3 companies,0.121631719,Weak
34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,Low,Male,Junior Level,Laboratory Technician,High,Single,6074,Yes,Very High,Low,9,3,High,9,7,0,6,0-1 Companies,0.522355942,Strong
54,No,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,Very High,Female,Senior Level,Manager,Very High,Single,17328,Yes,High,Low,23,3,High,5,3,4,4,2-3 companies,0.068147433,Weak
24,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,Medium,Male,Entry Level,Laboratory Technician,High,Married,2774,No,High,Medium,6,2,High,5,3,1,2,,0.131848293,Weak
34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,High,Female,Junior Level,Research Scientist,Medium,Divorced,4505,No,High,Medium,12,3,High,1,0,0,0,5+ companies,0.002009123,Weak
37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,High,Male,Mid Level,Sales Executive,Very High,Single,7428,No,Low,Low,12,3,High,5,3,1,3,2-3 companies,0.126131862,Weak
34,No,Travel_Rarely,1354,Research & Development,5,Bachelor,Medical,High,Female,Mid Level,Manager,Low,Single,11631,No,Very High,Low,14,6,High,11,10,5,8,2-3 companies,0.001377851,Weak
36,No,Travel_Frequently,1467,Sales,11,College,Technical Degree,Medium,Female,Mid Level,Sales Executive,Very High,Married,9738,No,High,Medium,10,6,High,9,7,2,8,,0.027098325,Weak
36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,Low,Female,Entry Level,Laboratory Technician,Very High,Divorced,2835,No,Low,Medium,7,2,High,1,0,0,0,4-5 companies,0.132489003,Weak
43,No,Travel_Frequently,394,Sales,26,College,Life Sciences,High,Male,Senior Level,Manager,Very High,Married,16959,Yes,Very High,High,25,3,Very High,25,12,4,12,0-1 Companies,0.017034203,Weak
30,No,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,Low,Male,Entry Level,Research Scientist,High,Divorced,2613,No,High,Very High,10,2,Medium,10,7,0,9,0-1 Companies,0.299104369,Weak
33,No,Non-Travel,750,Sales,22,College,Marketing,High,Male,Junior Level,Sales Executive,Medium,Married,6146,No,Low,Medium,8,2,Very High,7,7,0,7,,0.117694322,Weak
56,Yes,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,Medium,Female,Entry Level,Research Scientist,Medium,Married,4963,Yes,Low,Very High,7,2,High,5,4,4,3,5+ companies,0.22715428,Weak
51,No,Travel_Rarely,684,Research & Development,6,Bachelor,Life Sciences,Low,Male,Executive Level,Research Director,High,Single,19537,No,High,Low,23,5,High,20,18,15,15,5+ companies,1.55E-06,Weak
31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,Medium,Male,Junior Level,Sales Executive,High,Married,6172,Yes,Medium,Low,12,3,Medium,7,7,7,7,4-5 companies,0.619729251,Strong
26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,High,Female,Entry Level,Research Scientist,Medium,Married,2368,No,High,Low,5,3,Medium,5,4,4,3,0-1 Companies,0.034391525,Weak
58,Yes,Travel_Rarely,147,Research & Development,23,Master,Medical,Very High,Female,Mid Level,Healthcare Representative,Very High,Married,10312,No,Very High,Medium,40,3,Medium,40,10,15,6,0-1 Companies,0.00185118,Weak
19,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,Very High,Male,Entry Level,Sales Representative,High,Single,1675,Yes,Very High,Low,0,2,Medium,0,0,0,0,0-1 Companies,0.97610852,Strong
22,No,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,High,Male,Entry Level,Laboratory Technician,Very High,Married,2523,No,High,Medium,3,2,High,2,1,2,1,,0.042051743,Weak
49,No,Travel_Rarely,470,Research & Development,20,Master,Medical,High,Female,Junior Level,Manufacturing Director,Low,Married,6567,No,High,Low,16,2,Medium,15,11,5,11,0-1 Companies,0.00744616,Weak
43,No,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,Medium,Female,Entry Level,Research Scientist,High,Single,4739,No,Very High,Low,18,2,High,3,2,1,2,4-5 companies,0.082979678,Weak
50,No,Travel_Frequently,809,Sales,12,Bachelor,Marketing,High,Female,Mid Level,Sales Executive,Very High,Single,9208,No,Very High,Low,16,3,High,2,2,2,1,4-5 companies,0.080366887,Weak
